 1.000000 5
aha 0.001923 15
ahead 0.046795 14
ahm 0.001923 16
ahmanson 0.002564 15
aid 0.059615 12
aidan 0.002564 15
aide 0.012179 14
ail 0.000641 16
ailment 0.004487 15
aim 0.055128 13
air 0.091667 10
airbag 0.003846 14
airborn 0.003846 13
aircraft 0.005769 12
aire 0.005128 14
airlin 0.004487 15
airwai 0.005128 13
akin 0.000641 15
akira 0.001923 14
al 0.048077 11
alabama 0.005128 13
alain 0.002564 14
alan 0.046795 12
alarm 0.013462 15
alaska 0.001923 17
albeit 0.002564 16
albert 0.037179 14
alberto 0.002564 16
albright 0.003846 15
album 0.042949 13
alc 0.002564 16
alcohol 0.023077 15
alec 0.006410 17
alert 0.016667 16
alex 0.010897 18
alexand 0.007051 20
alexandra 0.000641 22
alfr 0.005128 21
alfre 0.001923 22
ali 0.010897 19
alic 0.009615 21
alicia 0.001923 22
alien 0.009615 20
alik 0.001923 22
alison 0.002564 21
aliv 0.012821 17
allan 0.003205 18
alleg 0.033974 14
allegedli 0.000641 18
allegheni 0.000641 19
allei 0.003205 17
allel 0.001923 18
allen 0.013462 16
allerg 0.003846 18
allergen 0.001923 19
allergi 0.010897 17
allevi 0.003846 19
alli 0.008333 18
allianc 0.018590 15
allman 0.001923 16
alloc 0.001923 17
allow 0.164744 9
allud 0.002564 14
allur 0.004487 13
almodovar 0.000641 16
aloft 0.001923 15
alomar 0.002564 14
alongsid 0.007692 12
aloof 0.001923 14
alou 0.003205 13
alpha 0.002564 14
alphabet 0.001923 16
altar 0.001923 15
alter 0.014744 11
altern 0.023718 10
althorp 0.003205 12
alzheim 0.003846 11
am 0.454487 6
amanda 0.005128 11
amass 0.001923 12
amaz 0.008333 10
ambassador 0.000641 14
ambigu 0.002564 13
ambiti 0.005769 12
ambition 0.005769 11
ambros 0.002564 12
ambul 0.002564 13
amc 0.001923 14
amend 0.020513 9
america 0.066667 8
american 0.225000 7
ameritech 0.000641 16
ameritrad 0.000641 15
ami 0.011538 14
amid 0.012821 13
amidst 0.001923 15
amnesia 0.001923 16
amongst 0.003205 14
amor 0.001923 15
amount 0.051282 12
ample 0.000641 16
amsterdam 0.000641 17
amus 0.005769 15
an 0.016667 14
ana 0.001923 17
analges 0.002564 16
analog 0.000641 17
analogi 0.002564 15
analysi 0.017949 13
analyst 0.062179 11
analyz 0.008974 13
anatom 0.001923 14
anchor 0.019872 12
ancient 0.010897 15
ancillari 0.000641 16
anderson 0.015385 14
andi 0.016026 13
andre 0.003846 15
andrea 0.008333 14
andrei 0.003205 15
andrew 0.062821 10
anem 0.000641 13
anesthet 0.001923 12
aneurysm 0.006410 11
ang 0.002564 12
ange 0.000641 13
angel 0.128846 9
angela 0.006410 13
angelika 0.001923 15
angelo 0.002564 14
angelu 0.001923 15
anger 0.019231 12
angie 0.004487 14
angioplasti 0.000641 16
angle 0.001923 15
anglo 0.001923 16
angri 0.011538 13
angrili 0.002564 15
angst 0.003846 14
anguish 0.002564 15
anim 0.052564 11
anita 0.003205 14
anke 0.003846 13
ankl 0.002564 15
ankle 0.002564 14
anna 0.007692 12
annal 0.006410 13
annaud 0.001923 16
anne 0.000641 17
annie 0.001923 15
anniversari 0.000641 16
annoi 0.005769 14
announc 0.114103 10
annoy 0.001923 15
annual 0.000641 16
anonym 0.005769 14
answer 0.028846 13
ante 0.000641 16
anthem 0.003205 15
anthoni 0.023077 14
antibiot 0.014103 16
antibodi 0.005128 19
antic 0.003846 20
anticip 0.010256 18
antidepress 0.000641 22
antigen 0.001923 21
antihypertens 0.000641 22
antimicrobi 0.000641 23
antioxid 0.003205 20
antiqu 0.003205 19
antiretrovir 0.000641 20
antitrust 0.000641 21
antonio 0.012179 17
antwerp 0.002564 19
anxieti 0.005769 18
anxiou 0.003205 20
anxious 0.002564 21
anytim 0.004487 19
aol 0.014103 15
aorta 0.001923 17
apart 0.012821 16
aphrodisiac 0.000641 18
apiec 0.004487 17
apolog 0.000641 19
apologi 0.000641 20
apoptosi 0.001923 18
appar 0.033974 12
appeal 0.037179 11
appear 0.210256 8
appet 0.002564 16
appetit 0.005769 15
applaud 0.003205 17
applaus 0.005128 16
apple 0.016667 14
appleg 0.002564 15
appli 0.025641 13
applic 0.025000 14
appoint 0.018590 15
appreci 0.004487 16
approach 0.038462 12
appropri 0.026282 13
approv 0.055769 11
approxim 0.012179 15
april 0.018590 14
apron 0.002564 17
apt 0.000641 20
arab 0.002564 19
arantxa 0.002564 18
arbitr 0.001923 20
arbitrari 0.000641 21
arcadia 0.001923 19
archer 0.001923 20
architect 0.000641 22
architectur 0.000641 21
archiv 0.010897 16
ardent 0.002564 18
arena 0.000641 19
argentin 0.007692 17
argentina 0.000641 18
argu 0.017308 15
arguabl 0.003846 17
argue 0.013462 16
argum 0.007692 18
ari 0.003205 19
aria 0.002564 21
arief 0.003205 20
aris 0.009615 17
arizona 0.008333 18
arkansa 0.005128 20
arkin 0.001923 21
arlen 0.005769 19
arlington 0.000641 20
arm 0.027564 13
armani 0.002564 15
armi 0.020513 14
armin 0.001923 17
arnaud 0.001923 18
arnold 0.008974 16
arquett 0.002564 18
arrai 0.005769 17
arrang 0.018590 15
arrest 0.016026 16
arriv 0.038462 12
arrog 0.002564 14
arrow 0.001923 15
arsenio 0.003205 13
arshad 0.001923 14
art 0.103846 10
arteri 0.019231 13
arthous 0.006410 17
arthriti 0.007692 16
arthroscop 0.000641 17
arthur 0.011538 15
arti 0.001923 16
articl 0.016026 14
artifici 0.005769 15
artist 0.060256 12
arturo 0.002564 18
artwork 0.001923 19
arundhati 0.000641 20
ascend 0.003205 17
asham 0.003205 18
ashlei 0.011538 16
asia 0.009615 18
asian 0.010256 17
asid 0.014744 15
asleep 0.001923 17
asner 0.003846 16
aspect 0.018590 14
aspidistra 0.000641 17
aspir 0.007051 16
assassin 0.008333 15
assault 0.021795 13
assembl 0.008333 16
assembli 0.005769 18
assert 0.006410 17
assess 0.012179 15
asset 0.017949 14
assign 0.017949 15
assist 0.066667 11
associ 0.169872 9
assort 0.002564 19
assum 0.017308 18
assumpt 0.002564 20
assur 0.014103 19
asthma 0.006410 22
astonish 0.003846 24
astro 0.001923 26
ate 0.002564 25
athen 0.003846 23
atherosclerosi 0.000641 24
athlet 0.010897 21
atkin 0.003846 22
atkinson 0.001923 23
atlant 0.000641 24
atlanta 0.010897 20
atmospher 0.000641 23
atom 0.008974 22
atop 0.008974 21
atp 0.000641 22
attach 0.024359 17
attack 0.041026 16
attempt 0.054487 15
attend 0.061538 14
attende 0.001923 17
attent 0.036538 16
attitud 0.012821 18
attornei 0.031410 17
attract 0.042949 15
attribut 0.012179 17
attun 0.001923 18
auction 0.021154 16
audienc 0.069231 13
audio 0.007692 15
audit 0.003205 16
audition 0.002564 18
auditorium 0.000641 19
audrei 0.002564 17
aug 0.012821 14
august 0.076282 12
augusto 0.003205 15
aunt 0.005128 14
aura 0.002564 17
aural 0.001923 18
aureu 0.002564 16
auschwitz 0.000641 17
auspici 0.003205 15
aussie 0.002564 16
austin 0.008974 13
australia 0.000641 15
australian 0.000641 16
austria 0.007051 14
austrian 0.003205 16
auteur 0.003846 15
authent 0.003205 16
author 0.144872 11
authoritarian 0.000641 16
auto 0.006410 15
autobiograph 0.000641 19
autobiographi 0.000641 20
autoimmun 0.000641 21
automak 0.002564 18
automat 0.005769 17
automobil 0.000641 19
automot 0.003205 18
autumn 0.006410 16
avail 0.064744 14
avalanch 0.004487 15
averag 0.103846 13
avert 0.003846 15
avoid 0.055769 14
aw 0.000641 17
await 0.014103 16
awak 0.000641 18
awaken 0.002564 17
awar 0.022436 15
award 0.106410 12
awash 0.001923 18
awfulli 0.002564 17
awkward 0.003205 16
ayn 0.003205 17
azt 0.001923 18
babe 0.000641 19
babi 0.038462 15
babyfac 0.001923 24
babyhood 0.002564 23
bachelor 0.002564 22
bachman 0.002564 23
backbeat 0.001923 24
backdrop 0.005128 21
backer 0.007051 20
background 0.000641 23
backhand 0.003846 22
backlash 0.001923 23
backstag 0.005769 21
backstreet 0.000641 22
backup 0.007692 19
backward 0.002564 21
backyard 0.001923 22
bacon 0.005128 20
bacteri 0.010256 18
bacteria 0.015385 17
bad 0.037821 16
baddour 0.001923 21
badge 0.001923 22
badli 0.008333 20
baffl 0.001923 21
bag 0.008333 19
baggag 0.006410 20
bai 0.010256 18
bail 0.001923 20
baker 0.006410 19
balanc 0.016026 17
baldwin 0.008333 20
balfour 0.001923 22
balkan 0.007051 21
ball 0.010897 19
ballad 0.008333 20
ballet 0.003205 22
ballot 0.002564 23
ballroom 0.005128 21
ballyhoo 0.002564 23
balmor 0.003205 22
baltimor 0.012179 18
ban 0.038462 14
banana 0.002564 16
banc 0.002564 15
band 0.039103 13
bandwagon 0.000641 16
bang 0.002564 15
bangeman 0.001923 16
bank 0.039103 14
banker 0.002564 18
bankruptci 0.000641 19
banner 0.008333 17
bantam 0.002564 18
bar 0.018590 16
barb 0.001923 17
barbara 0.029487 15
barber 0.001923 19
barbie 0.003846 18
barbra 0.002564 19
bare 0.012179 17
bargain 0.007051 18
bark 0.001923 20
barne 0.006410 19
barnei 0.001923 24
barnet 0.003205 23
baromet 0.001923 24
baron 0.003205 22
barrag 0.003846 21
barrel 0.006410 20
barri 0.016667 16
barrier 0.006410 17
barrymor 0.002564 19
bart 0.005128 18
bas 0.162821 10
base 0.022436 16
basebal 0.012179 18
bash 0.005769 19
basi 0.019231 17
basic 0.026282 15
basing 0.001923 20
basket 0.004487 19
basketbal 0.000641 21
basque 0.002564 20
bass 0.006410 18
bassist 0.002564 22
bat 0.000641 23
batch 0.002564 21
bate 0.002564 20
bath 0.000641 23
bathroom 0.001923 22
bathtub 0.001923 21
batman 0.003205 19
batten 0.001923 20
batter 0.007692 17
batteri 0.009615 16
battl 0.007051 17
battle 0.038462 14
battlefield 0.000641 19
bavarian 0.001923 18
baylor 0.004487 17
bbc 0.021154 16
beach 0.007692 17
beacon 0.001923 19
beam 0.007692 18
bear 0.021154 15
beate 0.042949 13
beaten 0.010897 17
beatle 0.014103 16
beau 0.005769 17
beauti 0.030128 15
beautifulli 0.000641 19
beaver 0.003205 18
beck 0.003205 17
becker 0.004487 16
becki 0.001923 17
becom 0.032051 14
bed 0.013462 15
bedroom 0.002564 18
beef 0.003846 17
beer 0.008333 16
beforehand 0.000641 18
befriend 0.002564 17
beg 0.001923 18
begin 0.126923 12
beglei 0.005128 15
begun 0.021795 14
behalf 0.011538 15
behav 0.007692 16
behavior 0.024359 13
behemoth 0.001923 16
beij 0.012821 15
belaru 0.002564 17
belat 0.007692 16
beleagu 0.003205 18
belgian 0.004487 17
belgium 0.014103 14
belief 0.007051 15
believ 0.131410 11
bell 0.014103 15
belong 0.009615 16
belov 0.003205 18
below 0.000641 19
belt 0.008974 17
bemoan 0.002564 18
ben 0.014103 14
benchmark 0.000641 17
bend 0.006410 16
beneath 0.002564 17
benefici 0.009615 15
benefit 0.085256 13
benign 0.003846 21
benjamin 0.007051 20
benkoe 0.001923 23
bennet 0.003846 22
bent 0.003205 23
benz 0.001923 24
bereav 0.001923 25
berendt 0.005128 21
berg 0.001923 23
bergman 0.002564 22
berlin 0.014103 19
bermuda 0.001923 22
bernard 0.007051 21
bernie 0.005769 22
bernstein 0.000641 25
berri 0.003205 24
bert 0.003846 23
bertelsman 0.000641 25
beset 0.001923 24
besid 0.010256 20
bess 0.003205 22
best 0.003846 21
bestsell 0.027564 18
bet 0.007692 19
beta 0.003205 22
beth 0.001923 24
bethesda 0.002564 23
betrai 0.002564 24
bette 0.005128 21
better 0.002564 22
betti 0.007692 20
beverli 0.031410 17
bewild 0.003205 18
beyond 0.032051 16
bias 0.001923 18
bible 0.004487 17
bid 0.032692 15
bierbaum 0.003846 17
bigger 0.019872 16
biggest 0.060897 14
bilater 0.001923 16
bilingu 0.001923 15
bill 0.109615 12
billboard 0.000641 15
billi 0.023718 14
billion 0.074359 13
billionair 0.000641 19
bin 0.001923 18
bind 0.010256 17
bing 0.001923 19
binge 0.001923 20
biochem 0.001923 21
biochemistri 0.000641 22
biograph 0.003205 18
biographi 0.000641 19
biolog 0.010897 16
biologi 0.009615 17
biologist 0.001923 21
biomed 0.003846 20
biondi 0.002564 21
biopic 0.004487 19
biopsi 0.003205 20
bip 0.001923 21
bipartisan 0.000641 22
bird 0.005769 18
birdie 0.001923 19
birth 0.030128 15
birthdai 0.000641 17
bisexu 0.003846 16
bishop 0.001923 17
bit 0.048077 14
bite 0.009615 15
bitter 0.008333 17
bittersweet 0.000641 18
bizarr 0.008974 16
bize 1.000000 4
black 0.060256 11
blackhawk 0.000641 16
blacklist 0.000641 17
bladder 0.003205 15
blair 0.006410 14
blake 0.003846 15
blam 0.014744 13
blame 0.014103 14
blank 0.003205 18
blasphem 0.003205 17
blast 0.012821 16
blazer 0.003846 19
bleak 0.001923 20
bled 0.001923 21
bleed 0.006410 18
blend 0.008333 17
bless 0.003846 19
blew 0.005128 18
blind 0.013462 15
blink 0.002564 17
blip 0.001923 18
blitz 0.005769 16
bln 0.003846 17
block 0.055128 12
blockag 0.002564 15
blockbust 0.000641 17
blocker 0.001923 16
blond 0.003846 14
blonde 0.005128 13
blood 0.066667 10
bloodi 0.008333 15
blossom 0.001923 16
blow 0.010256 14
blue 0.026282 13
blunt 0.005769 14
bluntli 0.002564 16
blur 0.001923 17
bmg 0.000641 18
bmi 0.003205 15
board 0.038462 12
boast 0.008333 13
boate 0.000641 14
bob 0.061538 11
bobbi 0.007051 13
bode 0.000641 14
bodi 0.058333 12
bodyguard 0.000641 21
boe 0.002564 20
boffo 0.001923 23
bog 0.001923 22
bogdanovich 0.000641 23
bogei 0.002564 21
bohdan 0.003205 19
bohemian 0.003205 18
boi 0.000641 19
bold 0.003846 17
bologna 0.001923 18
bolster 0.007051 16
bomb 0.007051 15
bombard 0.001923 16
bon 0.000641 17
bond 0.017949 14
bone 0.028846 13
bonham 0.005128 14
bonnie 0.003846 15
bono 0.003205 17
bonus 0.003205 16
boo 0.001923 17
boogie 0.000641 18
book 0.100000 9
bookend 0.001923 15
booker 0.005128 14
booksell 0.002564 16
bookshelv 0.000641 17
bookstor 0.003205 15
bookworm 0.001923 16
boom 0.007692 13
boon 0.002564 14
boost 0.042949 12
boot 0.003205 16
bootleg 0.002564 17
bor 0.000641 18
border 0.004487 15
bore 0.006410 14
bori 0.000641 15
born 0.037821 13
borne 0.003205 18
borrow 0.007692 17
bosnia 0.004487 18
bosnian 0.003205 19
boss 0.010256 16
boston 0.024359 15
botch 0.001923 18
bother 0.006410 17
bottle 0.004487 18
bottom 0.015385 16
bought 0.035256 14
bounc 0.005769 17
bounce 0.004487 18
bound 0.008333 16
boundari 0.003205 19
bouquet 0.003846 18
bout 0.007051 17
bovin 0.000641 18
bow 0.033333 15
bowie 0.004487 16
bowl 0.000641 18
bowman 0.001923 17
box 0.076923 11
boxe 0.016667 14
boycot 0.006410 16
boyd 0.003205 18
boyfriend 0.000641 19
boyz 0.004487 17
bp 0.009615 15
brace 0.004487 16
brad 0.022436 13
bradi 0.003205 14
braille 0.001923 15
brain 0.064744 12
brainchild 0.000641 16
branch 0.005128 15
branche 0.003205 16
brand 0.020513 14
brando 0.001923 17
brandon 0.005769 16
brass 0.003846 17
brassi 0.001923 18
brave 0.011538 15
brawl 0.003205 18
brazil 0.004487 17
brazilian 0.000641 18
breach 0.006410 16
bread 0.003205 17
break 0.059615 13
breakdown 0.000641 16
breakfast 0.000641 17
breakout 0.001923 15
breakthrough 0.000641 16
breast 0.032051 14
breastfee 0.000641 18
breastfeed 0.000641 17
breath 0.012179 16
breathe 0.003205 19
breathnach 0.000641 20
breathtak 0.000641 21
brenda 0.005128 18
brendan 0.010256 17
brennan 0.001923 20
brent 0.005128 19
brentwood 0.000641 20
bret 0.008333 18
brew 0.003846 19
brian 0.026923 15
bride 0.001923 18
bridge 0.006410 17
brief 0.023077 16
briefli 0.011538 17
bright 0.009615 18
brightman 0.000641 20
brilliant 0.000641 21
brim 0.001923 19
bring 0.086538 10
brit 0.000641 12
britain 0.022436 11
britania 0.003205 12
britannia 0.000641 13
british 0.105128 8
briton 0.005769 15
brittani 0.003205 16
broad 0.015385 14
broadband 0.000641 18
broadcast 0.000641 17
broaden 0.008974 16
broader 0.014103 15
broadwai 0.014103 16
broderick 0.000641 17
broke 0.020513 13
broken 0.022436 12
broker 0.011538 14
brokerag 0.003205 15
bronchiti 0.000641 19
bronchoscop 0.000641 18
bronco 0.001923 17
bronson 0.003205 16
bronze 0.002564 17
brook 0.015385 13
brooke 0.002564 15
brooklyn 0.003846 14
brother 0.036538 11
brought 0.042308 10
brown 0.022436 12
browser 0.010256 14
bruce 0.020513 13
bruckheim 0.000641 19
bruguera 0.002564 18
bruin 0.003846 17
bruis 0.000641 18
brush 0.007692 16
brussel 0.005769 17
brutal 0.013462 15
bryan 0.001923 17
bryant 0.008333 16
bse 0.000641 18
bskyb 0.003205 17
bt 0.003205 18
bu 0.000641 19
buck 0.014744 14
buckingham 0.000641 16
bud 0.012179 15
budapest 0.004487 16
buddi 0.003846 17
budget 0.023077 11
buena 0.009615 12
bueno 0.005769 13
buffalo 0.005769 14
bug 0.003205 15
bui 0.087821 9
buick 0.002564 11
build 0.055128 10
buildup 0.003205 12
built 0.032051 11
bulgaria 0.003846 15
bulk 0.005128 14
bull 0.015385 13
bullet 0.002564 18
bulli 0.001923 19
bullish 0.005128 17
bullock 0.005769 16
bullpen 0.003205 17
bum 0.001923 18
bump 0.008333 15
bunch 0.005128 17
bunker 0.001923 19
bunni 0.003205 18
buoi 0.002564 19
burden 0.007692 16
bureau 0.007692 17
bureaucr 0.002564 19
bureaucrat 0.000641 21
buren 0.002564 20
burgeon 0.002564 21
burger 0.006410 18
burgess 0.003846 19
buri 0.010256 14
burial 0.002564 15
burn 0.018590 12
burnham 0.001923 16
burnt 0.001923 15
burrow 0.002564 14
burst 0.008974 13
burt 0.005769 14
burton 0.005128 16
buse 0.000641 17
bush 0.005769 15
busi 0.162179 7
busiest 0.001923 13
businessman 0.000641 15
businessmen 0.000641 14
bust 0.000641 15
busta 0.001923 12
but 0.000641 14
buttock 0.001923 13
button 0.006410 11
buyback 0.000641 12
buyer 0.007692 10
buyout 0.006410 11
buzz 0.012821 9
bygon 0.001923 11
bypass 0.010256 10
byproduct 0.000641 13
byron 0.004487 12
bystand 0.001923 14
c 0.002564 13
ca 0.005128 11
caa 0.003205 13
cabin 0.002564 14
cabinet 0.003205 12
cable 0.090385 8
cableac 0.012821 11
cabler 0.003846 12
cache 0.001923 14
cafe 0.003205 13
cage 0.013462 10
cal 0.000641 12
calcium 0.012821 11
calcul 0.009615 12
caleb 0.002564 13
calendar 0.021154 9
calgari 0.002564 10
california 0.000641 11
call 0.251282 6
calla 0.004487 17
callawai 0.001923 18
caller 0.001923 19
calm 0.005128 16
calor 0.005128 15
calori 0.004487 16
cam 0.001923 18
cambridg 0.001923 17
cameo 0.009615 14
camera 0.046154 13
cameraman 0.000641 16
camerawork 0.000641 17
cameron 0.004487 15
camilla 0.003205 16
camp 0.017308 14
campaign 0.057692 12
campbell 0.005128 15
campion 0.002564 17
campu 0.004487 16
canada 0.017308 14
canadian 0.026923 13
canadien 0.001923 16
canal 0.006410 15
cancel 0.008974 14
cancell 0.006410 15
cancer 0.070513 11
candac 0.001923 15
candi 0.002564 14
candid 0.021795 13
candle 0.002564 15
canne 0.019231 14
canola 0.001923 20
canon 0.002564 19
canton 0.002564 18
canuck 0.003846 17
canva 0.002564 19
canyon 0.002564 18
cap 0.015385 16
capabl 0.016026 15
capac 0.014744 16
cape 0.008974 17
capit 0.029487 12
capita 0.002564 16
capitol 0.000641 17
capsul 0.002564 15
captain 0.004487 14
captiv 0.004487 15
captur 0.023718 13
car 0.081410 10
carbon 0.003205 14
carcass 0.001923 15
carcinogen 0.016026 13
carcinoma 0.000641 14
card 0.019231 12
cardiac 0.010256 13
cardin 0.002564 14
cardiologi 0.000641 16
cardiologist 0.000641 15
cardiopulmonari 0.000641 16
cardiovascular 0.000641 17
care 0.074359 11
career 0.098077 9
carefulli 0.000641 15
caregiv 0.003205 14
carei 0.006410 13
cari 0.005128 14
caribbean 0.000641 16
carl 0.000641 17
carla 0.002564 15
carli 0.000641 17
carlin 0.001923 16
carlo 0.008333 12
carlson 0.004487 13
carmen 0.002564 14
carmichael 0.000641 15
carol 0.023077 11
carolco 0.003205 14
carolin 0.005128 13
carolina 0.016026 12
carolyn 0.000641 14
carotid 0.003846 13
carpet 0.002564 15
carre 0.002564 16
carrei 0.002564 14
carri 0.075641 10
carriag 0.002564 17
carrier 0.007051 16
carroll 0.003846 17
carson 0.001923 19
cartel 0.002564 18
carter 0.007051 15
cartilag 0.002564 16
cartoon 0.008974 14
caruso 0.002564 17
carv 0.004487 16
cascad 0.001923 18
casciato 0.003846 17
casei 0.004487 15
cash 0.041026 13
casino 0.003205 15
cassett 0.005769 14
cast 0.061538 12
castle 0.007692 15
castro 0.000641 18
casual 0.001923 17
casualti 0.003846 16
catalog 0.003846 17
catastroph 0.000641 18
catch 0.012821 14
catche 0.005128 15
catcher 0.002564 16
cate 0.000641 18
categor 0.001923 17
categori 0.022436 13
cater 0.001923 16
catherin 0.011538 15
cathet 0.001923 18
cathi 0.003846 17
cathol 0.010897 16
cattle 0.002564 18
catwalk 0.004487 17
caucasian 0.000641 18
caught 0.021795 14
caus 0.067308 11
cause 0.098077 8
caustic 0.002564 12
caution 0.020513 11
cautiou 0.006410 12
caviti 0.003205 13
cb 0.064103 10
cd 0.015385 12
cdc 0.016026 11
cecil 0.002564 13
ceil 0.002564 14
celeb 0.010897 12
celebr 0.064744 9
celin 0.012179 11
cell 0.056410 10
cellular 0.013462 12
celluloid 0.000641 15
cement 0.003846 14
cemeteri 0.003205 15
censor 0.004487 13
censorship 0.000641 15
censu 0.003205 14
cent 0.036538 11
center 0.139103 7
centerpiec 0.000641 12
centinela 0.000641 13
central 0.049359 11
centre 0.001923 13
centuri 0.030769 12
ceo 0.025000 14
cerebr 0.003205 15
ceremoni 0.027564 13
certif 0.003846 17
certifi 0.007051 16
cervic 0.008333 15
cervix 0.001923 19
cesarean 0.001923 20
cessat 0.004487 18
cf 0.005128 17
cfc 0.003205 18
chad 0.007692 16
chaimowitz 0.000641 17
chain 0.014103 14
chair 0.012821 15
chairman 0.103846 10
chairwoman 0.000641 16
chalk 0.001923 15
challeng 0.030128 14
chamber 0.003846 16
champ 0.004487 15
champion 0.036538 13
championship 0.000641 16
championship 0.000641 15
chan 0.003205 14
chance 0.045513 12
chancellor 0.000641 14
chandler 0.003846 13
chanei 0.002564 14
chang 0.057051 11
change 0.116026 9
channel 0.042949 13
chao 0.001923 16
chaotic 0.002564 15
chapel 0.009615 14
chaplin 0.003205 16
chapter 0.004487 15
charact 0.057051 12
character 0.000641 15
characterist 0.000641 14
charg 0.023077 13
charge 0.058333 11
charismat 0.000641 16
charit 0.003205 15
chariti 0.016667 14
charle 0.048718 13
charlie 0.012821 15
charlott 0.002564 18
charlton 0.005128 17
charm 0.007692 16
charmer 0.001923 17
chart 0.034615 14
charter 0.007051 18
chas 0.013462 17
chase 0.011538 18
chat 0.005769 19
chate 0.014744 16
cheadle 0.004487 18
cheap 0.010256 17
cheaper 0.007692 18
check 0.026282 15
checker 0.001923 18
checklist 0.000641 20
cheek 0.001923 19
cheer 0.009615 17
cheese 0.003205 19
chef 0.004487 18
chelsea 0.001923 19
chemic 0.025000 16
chemistri 0.000641 20
chemokin 0.001923 19
chemotherapi 0.000641 23
chen 0.001923 22
cher 0.001923 23
cherish 0.001923 21
cherri 0.001923 20
chess 0.003205 18
chest 0.008974 17
chicago 0.057692 12
chicken 0.006410 14
chid 0.006410 13
chief 0.111538 10
chiffon 0.001923 14
child 0.048718 13
childhood 0.000641 14
children 0.082051 12
chile 0.007692 16
chilean 0.006410 17
chill 0.004487 19
chilli 0.005128 18
china 0.028846 15
chines 0.023718 16
chip 0.033333 14
chipmak 0.001923 16
chloe 0.001923 17
choice 0.028205 15
choir 0.002564 18
chok 0.000641 19
cholesterol 0.000641 20
choos 0.005128 17
choose 0.000641 20
chord 0.003205 19
chore 0.004487 18
choreograph 0.000641 21
choreographi 0.000641 20
choru 0.002564 19
chose 0.012821 16
chosen 0.008333 17
chri 0.056410 13
christian 0.000641 16
christin 0.012179 15
christina 0.000641 17
christma 0.010256 16
christoph 0.000641 17
chromosom 0.000641 18
chronic 0.030769 14
chronicl 0.007692 19
chronologi 0.000641 22
